neck_2.x, neck_2.y, neck_2.z, right_shoulder_2.x, right_shoulder_2.y, right_shoulder_2.z, right_elbow_2.x,right_elbow_2.y, right_elbow_2.z, right_hand_2.x, right_hand_2.y, right_hand_2.z, right_hip_2.x,right_hip_2.y, right_hip_2.z, time.sec, time.nsec
2.611504,-0.074155,0.687090,2.609617,-0.225920,0.694831,2.641725,-0.328971,0.404939,2.575111,-0.332746,0.107557,2.624526,-0.197469,0.255453,0,0
2.558459,-0.059324,0.687663,2.558072,-0.210999,0.697182,2.581092,-0.320502,0.409748,2.514013,-0.345020,0.120645,2.555932,-0.187518,0.257300,0,0
2.492240,-0.043475,0.681389,2.491152,-0.195207,0.689951,2.517902,-0.310809,0.406712,2.442828,-0.339154,0.125810,2.484715,-0.168917,0.250167,0,0
2.428209,-0.031377,0.670339,2.429146,-0.183176,0.677621,2.467367,-0.303348,0.415703,2.384967,-0.332071,0.144344,2.421739,-0.153274,0.238070,0,0
2.376865,-0.029633,0.677901,2.379536,-0.181415,0.685186,2.419222,-0.296388,0.424263,2.338160,-0.327693,0.151640,2.368133,-0.151665,0.245700,0,0
2.313854,-0.036190,0.661620,2.318831,-0.187971,0.667522,2.386102,-0.300024,0.418116,2.312035,-0.335250,0.143540,2.317962,-0.154037,0.228220,0,0
2.254524,-0.053034,0.652752,2.263461,-0.204719,0.655092,2.343847,-0.317833,0.422325,2.303749,-0.355120,0.141723,2.262870,-0.160442,0.216716,0,0
2.180659,-0.088365,0.628522,2.196658,-0.239452,0.630741,2.295885,-0.344706,0.402294,2.275132,-0.378247,0.119000,2.207115,-0.193517,0.192674,0,0
2.103417,-0.130819,0.611371,2.116503,-0.282181,0.611917,2.226554,-0.389441,0.388683,2.224079,-0.420536,0.104368,2.126369,-0.231778,0.174295,0,0
2.002721,-0.170434,0.591347,1.995791,-0.321781,0.599938,2.137145,-0.449118,0.396427,2.138925,-0.473391,0.111323,2.046314,-0.297725,0.163168,0,0
1.922202,-0.233792,0.595471,1.923431,-0.385308,0.604370,2.047524,-0.507442,0.396505,2.026538,-0.536306,0.112841,1.979745,-0.359560,0.168168,0,0
1.857952,-0.284982,0.606050,1.866471,-0.436232,0.615593,1.971162,-0.556735,0.368723,1.893924,-0.608729,0.102344,1.914503,-0.410106,0.178434,0,0
1.793950,-0.329261,0.608670,1.809245,-0.480199,0.616152,1.899505,-0.599846,0.366711,1.773488,-0.665563,0.121801,1.849065,-0.446598,0.178632,0,0
1.721179,-0.362132,0.586931,1.737756,-0.513090,0.591313,1.821044,-0.634984,0.364456,1.665476,-0.708762,0.139960,1.782025,-0.471410,0.155138,0,0
1.641336,-0.386175,0.571990,1.656175,-0.537247,0.578065,1.746661,-0.658535,0.351004,1.591009,-0.730519,0.124987,1.706041,-0.499106,0.141989,0,0
1.540945,-0.389294,0.522637,1.535952,-0.540367,0.532454,1.664958,-0.683627,0.340157,1.544828,-0.745400,0.090162,1.600595,-0.520154,0.097227,0,0
1.431768,-0.384130,0.476409,1.396295,-0.530736,0.487461,1.586864,-0.715561,0.317337,1.519956,-0.739483,0.042627,1.479166,-0.535437,0.055377,0,0
1.330274,-0.395065,0.417255,1.282443,-0.538872,0.426075,1.516520,-0.750288,0.223226,1.398753,-0.702904,-0.029276,1.384525,-0.553306,-0.001370,0,0
1.244277,-0.415323,0.378675,1.203282,-0.561046,0.391264,1.321221,-0.639001,0.142442,1.229031,-0.611656,-0.127100,1.329774,-0.583903,-0.029487,0,0
1.169429,-0.421027,0.350689,1.130784,-0.567049,0.367136,1.196041,-0.604012,0.090957,1.126692,-0.588431,-0.186256,1.281307,-0.603757,-0.044732,0,0
1.103827,-0.407140,0.321205,1.078387,-0.554376,0.347968,1.112742,-0.572315,0.064424,1.061316,-0.563360,-0.216955,1.239056,-0.607198,-0.058343,0,0
1.029359,-0.475156,0.292050,0.999079,-0.620633,0.322207,1.016867,-0.629532,0.036719,0.979022,-0.624308,-0.246900,1.150844,-0.691674,-0.084256,0,0
0.896482,-0.471157,0.249052,0.829422,-0.601286,0.288807,0.838575,-0.605764,0.002808,0.810839,-0.602657,-0.282007,0.976006,-0.736689,-0.103982,0,0
0.891401,-0.418266,0.188780,0.838658,-0.542642,0.257771,0.843355,-0.544914,-0.028361,0.823074,-0.543024,-0.313815,0.920202,-0.730356,-0.132420,0,0
0.892917,-0.405230,0.175192,0.847069,-0.528722,0.250414,0.850077,-0.530171,-0.035747,0.833628,-0.528796,-0.321450,0.917574,-0.727693,-0.136220,0,0
0.893314,-0.401413,0.171157,0.849532,-0.524567,0.248144,0.851073,-0.525306,-0.038031,0.839067,-0.524435,-0.323958,0.916884,-0.726933,-0.137243,0,0
0.893403,-0.400884,0.170620,0.849953,-0.523980,0.247885,0.850741,-0.524357,-0.038293,0.841982,-0.523792,-0.324339,0.916807,-0.726882,-0.137298,0,0
0.893347,-0.400906,0.170602,0.849818,-0.524015,0.247801,0.850221,-0.524208,-0.038379,0.843832,-0.523833,-0.324488,0.916785,-0.726801,-0.137420,0,0
0.893389,-0.400845,0.170562,0.849939,-0.523940,0.247826,0.850146,-0.524038,-0.038354,0.845486,-0.523785,-0.324496,0.916791,-0.726845,-0.137349,0,0
0.893335,-0.400915,0.170599,0.849789,-0.524026,0.247783,0.849894,-0.524076,-0.038397,0.846497,-0.523902,-0.324557,0.916781,-0.726784,-0.137442,0,0
0.893390,-0.400846,0.170558,0.849940,-0.523940,0.247822,0.849993,-0.523965,-0.038358,0.847516,-0.523844,-0.324527,0.916791,-0.726842,-0.137347,0,0
0.893336,-0.400917,0.170596,0.849790,-0.524027,0.247779,0.849817,-0.524039,-0.038401,0.848010,-0.523954,-0.324576,0.916780,-0.726782,-0.137439,0,0
0.893390,-0.400848,0.170555,0.849941,-0.523940,0.247818,0.849954,-0.523946,-0.038362,0.848637,-0.523885,-0.324539,0.916790,-0.726840,-0.137344,0,0
0.893336,-0.400919,0.170593,0.849791,-0.524027,0.247775,0.849797,-0.524030,-0.038405,0.848837,-0.523986,-0.324584,0.916780,-0.726780,-0.137436,0,0
0.893391,-0.400850,0.170552,0.849942,-0.523941,0.247814,0.849945,-0.523942,-0.038366,0.849244,-0.523911,-0.324545,0.916790,-0.726838,-0.137341,0,0
0.893337,-0.400922,0.170590,0.849792,-0.524028,0.247771,0.849793,-0.524028,-0.038409,0.849282,-0.524006,-0.324589,0.916779,-0.726778,-0.137432,0,0
0.893395,-0.400847,0.170545,0.849955,-0.523935,0.247813,0.849955,-0.523935,-0.038367,0.849582,-0.523918,-0.324547,0.916790,-0.726840,-0.137330,0,0
0.893333,-0.400929,0.170589,0.849782,-0.524035,0.247763,0.849782,-0.524035,-0.038417,0.849510,-0.524023,-0.324597,0.916778,-0.726771,-0.137436,0,0
0.893396,-0.400850,0.170541,0.849956,-0.523936,0.247808,0.849955,-0.523935,-0.038372,0.849757,-0.523927,-0.324552,0.916790,-0.726838,-0.137326,0,0
0.893334,-0.400932,0.170585,0.849783,-0.524036,0.247758,0.849782,-0.524035,-0.038422,0.849637,-0.524031,-0.324602,0.916778,-0.726768,-0.137432,0,0
0.893392,-0.400857,0.170541,0.849946,-0.523943,0.247800,0.849945,-0.523942,-0.038380,0.849839,-0.523940,-0.324560,0.916788,-0.726831,-0.137329,0,0
0.893334,-0.400934,0.170581,0.849785,-0.524037,0.247753,0.849784,-0.524036,-0.038427,0.849706,-0.524036,-0.324607,0.916777,-0.726766,-0.137428,0,0
0.893397,-0.400855,0.170534,0.849959,-0.523937,0.247798,0.849958,-0.523936,-0.038382,0.849901,-0.523937,-0.324562,0.916788,-0.726833,-0.137318,0,0
0.893335,-0.400937,0.170578,0.849786,-0.524038,0.247748,0.849785,-0.524037,-0.038432,0.849743,-0.524039,-0.324612,0.916777,-0.726763,-0.137424,0,0
0.893394,-0.400863,0.170533,0.849949,-0.523944,0.247790,0.849948,-0.523944,-0.038391,0.849917,-0.523946,-0.324570,0.916787,-0.726826,-0.137321,0,0
0.893336,-0.400939,0.170574,0.849787,-0.524038,0.247743,0.849786,-0.524037,-0.038437,0.849763,-0.524041,-0.324617,0.916776,-0.726761,-0.137420,0,0
0.893398,-0.400860,0.170526,0.849961,-0.523938,0.247788,0.849960,-0.523938,-0.038392,0.849943,-0.523942,-0.324572,0.916787,-0.726828,-0.137311,0,0
0.893336,-0.400942,0.170570,0.849788,-0.524039,0.247738,0.849787,-0.524038,-0.038442,0.849775,-0.524042,-0.324622,0.916775,-0.726758,-0.137417,0,0
0.893399,-0.400862,0.170523,0.849962,-0.523939,0.247783,0.849961,-0.523938,-0.038397,0.849952,-0.523943,-0.324577,0.916787,-0.726825,-0.137307,0,0
0.893337,-0.400944,0.170567,0.849790,-0.524039,0.247733,0.849788,-0.524039,-0.038447,0.849781,-0.524044,-0.324627,0.916775,-0.726756,-0.137413,0,0
0.893399,-0.400865,0.170519,0.849963,-0.523940,0.247778,0.849962,-0.523939,-0.038402,0.849957,-0.523944,-0.324581,0.916786,-0.726823,-0.137304,0,0
0.893341,-0.400941,0.170560,0.849802,-0.524033,0.247732,0.849801,-0.524033,-0.038448,0.849797,-0.524038,-0.324628,0.916775,-0.726758,-0.137403,0,0
0.893404,-0.400862,0.170513,0.849976,-0.523934,0.247777,0.849975,-0.523933,-0.038403,0.849971,-0.523938,-0.324583,0.916787,-0.726825,-0.137293,0,0
0.893342,-0.400944,0.170557,0.849803,-0.524034,0.247727,0.849802,-0.524033,-0.038453,0.849799,-0.524038,-0.324633,0.916775,-0.726756,-0.137399,0,0
0.893404,-0.400864,0.170509,0.849977,-0.523934,0.247772,0.849976,-0.523933,-0.038408,0.849974,-0.523938,-0.324588,0.916786,-0.726823,-0.137290,0,0
0.893338,-0.400951,0.170556,0.849794,-0.524041,0.247720,0.849793,-0.524040,-0.038460,0.849791,-0.524045,-0.324640,0.916774,-0.726749,-0.137403,0,0
0.893401,-0.400871,0.170509,0.849967,-0.523941,0.247765,0.849966,-0.523940,-0.038415,0.849965,-0.523945,-0.324594,0.916785,-0.726817,-0.137293,0,0
0.893339,-0.400953,0.170553,0.849795,-0.524041,0.247716,0.849794,-0.524040,-0.038464,0.849792,-0.524045,-0.324644,0.916773,-0.726747,-0.137400,0,0
0.893401,-0.400873,0.170506,0.849968,-0.523941,0.247761,0.849967,-0.523940,-0.038419,0.849966,-0.523945,-0.324598,0.916785,-0.726815,-0.137290,0,0
0.893339,-0.400955,0.170550,0.849796,-0.524042,0.247712,0.849795,-0.524041,-0.038468,0.849793,-0.524046,-0.324648,0.916773,-0.726745,-0.137397,0,0
0.893402,-0.400875,0.170503,0.849969,-0.523942,0.247757,0.849968,-0.523941,-0.038423,0.849967,-0.523946,-0.324603,0.916784,-0.726812,-0.137287,0,0
0.893340,-0.400957,0.170547,0.849797,-0.524043,0.247708,0.849796,-0.524042,-0.038472,0.849794,-0.524047,-0.324652,0.916772,-0.726743,-0.137393,0,0
0.893402,-0.400877,0.170500,0.849970,-0.523943,0.247753,0.849969,-0.523942,-0.038427,0.849968,-0.523947,-0.324606,0.916784,-0.726810,-0.137284,0,0
0.893340,-0.400959,0.170544,0.849797,-0.524044,0.247704,0.849796,-0.524043,-0.038476,0.849795,-0.524048,-0.324656,0.916772,-0.726741,-0.137390,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
0.893336,-0.400965,0.170546,0.849786,-0.524050,0.247700,0.849785,-0.524050,-0.038480,0.849784,-0.524054,-0.324660,0.916771,-0.726736,-0.137396,0,0
